iter	Passed	Remaining
0	3	30921
1	5	29771
2	8	29882
3	15	37770
4	19	39078
5	26	44531
6	30	43146
7	33	42391
8	37	41852
9	41	41010
10	43	39752
11	46	38985
12	50	39096
13	53	38362
14	56	37727
15	59	37186
16	62	36834
17	66	36726
18	69	36457
19	72	36228
20	79	37807
21	82	37347
22	85	37012
23	88	36762
24	91	36659
25	94	36424
26	97	36153
27	100	35962
28	104	36089
29	107	35808
30	111	35818
31	115	35848
32	118	35865
33	121	35728
34	124	35493
35	127	35340
36	131	35527
37	135	35426
38	138	35304
39	141	35170
40	144	34987
41	146	34849
42	149	34712
43	152	34599
44	157	34836
45	160	34717
46	164	34809
47	167	34830
48	171	34774
49	174	34683
50	177	34631
51	181	34735
52	184	34615
53	189	34840
54	193	34963
55	201	35822
56	207	36129
57	215	36907
58	227	38305
59	240	39845
60	244	39862
61	247	39700
62	250	39556
63	254	39557
64	257	39368
65	260	39230
66	263	39035
67	270	39455
68	273	39325
69	276	39222
70	283	39619
71	287	39679
72	290	39557
73	293	39422
74	297	39405
75	300	39252
76	303	39172
77	307	39079
78	311	39084
79	314	39049
80	322	39511
81	328	39672
82	333	39895
83	338	39916
84	342	39943
85	348	40164
86	352	40138
87	356	40182
88	362	40351
89	366	40397
90	372	40518
91	376	40507
92	380	40501
93	386	40769
94	390	40721
95	394	40703
96	400	40890
97	403	40816
98	407	40749
99	412	40816
100	415	40762
101	419	40735
102	425	40906
103	430	40950
104	433	40888
105	437	40855
106	445	41166
107	449	41208
108	454	41226
109	458	41180
110	462	41198
111	466	41201
112	471	41230
113	474	41122
114	477	41031
115	482	41123
116	486	41102
117	489	41032
118	494	41063
119	498	41048
120	502	41034
121	507	41068
122	510	41032
123	567	45198
124	570	45067
125	573	44968
126	576	44831
127	584	45052
128	587	44935
129	590	44856
130	595	44878
131	599	44794
132	602	44682
133	607	44712
134	611	44675
135	614	44559
136	620	44636
137	624	44621
138	627	44513
139	630	44413
140	635	44462
141	642	44612
142	648	44681
143	652	44678
144	655	44570
145	658	44461
146	663	44484
147	668	44467
148	671	44408
149	676	44453
150	680	44376
151	684	44332
152	688	44301
153	691	44221
154	694	44122
155	698	44072
156	704	44195
157	711	44330
158	715	44276
159	718	44181
160	723	44185
161	727	44163
162	733	44261
163	738	44284
164	745	44433
165	750	44458
166	753	44369
167	760	44527
168	763	44416
169	766	44324
170	769	44221
171	775	44293
172	778	44211
173	780	44100
174	785	44118
175	788	44012
176	791	43911
177	794	43823
178	800	43897
179	804	43874
180	806	43773
181	810	43726
182	813	43658
183	816	43558
184	819	43471
185	822	43377
186	826	43352
187	831	43410
188	840	43640
189	848	43798
190	852	43786
191	855	43719
192	858	43644
193	861	43563
194	864	43476
195	868	43421
196	871	43352
197	874	43293
198	877	43210
199	881	43195
200	884	43142
201	887	43063
202	890	42985
203	894	42975
204	897	42904
205	900	42826
206	903	42751
207	907	42701
208	910	42631
209	912	42552
210	915	42492
211	919	42438
212	922	42376
213	925	42299
214	927	42231
215	932	42257
216	936	42220
217	939	42161
218	943	42139
219	946	42092
220	949	42023
221	952	41961
222	955	41892
223	958	41833
224	961	41782
225	964	41718
226	967	41659
227	970	41593
228	973	41546
229	977	41514
230	980	41458
231	983	41410
232	987	41394
233	990	41332
234	994	41313
235	997	41262
236	1000	41228
237	1004	41215
238	1008	41185
239	1011	41141
240	1016	41149
241	1019	41114
242	1022	41049
243	1025	40989
244	1028	40950
245	1031	40897
246	1034	40835
247	1037	40780
248	1039	40726
249	1044	40716
250	1048	40711
251	1051	40658
252	1054	40642
253	1058	40631
254	1061	40583
255	1064	40525
256	1067	40470
257	1070	40438
258	1073	40381
259	1076	40334
260	1079	40283
261	1082	40235
262	1085	40183
263	1088	40127
264	1090	40076
265	1093	40020
266	1098	40061
267	1101	40013
268	1105	39981
269	1108	39932
270	1111	39890
271	1113	39838
272	1116	39793
273	1119	39741
274	1122	39702
275	1125	39656
276	1128	39605
277	1131	39558
278	1135	39546
279	1137	39503
280	1141	39495
281	1145	39462
282	1149	39467
283	1152	39443
284	1155	39399
285	1160	39405
286	1165	39440
287	1169	39422
288	1172	39403
289	1175	39361
290	1179	39340
291	1183	39335
292	1185	39289
293	1189	39269
294	1192	39243
295	1195	39197
296	1198	39154
297	1201	39121
298	1204	39084
299	1207	39043
300	1210	39005
301	1213	38961
302	1217	38954
303	1220	38928
304	1223	38885
305	1226	38844
306	1230	38861
307	1233	38828
308	1239	38865
309	1243	38859
310	1247	38880
311	1251	38845
312	1253	38804
313	1257	38797
314	1260	38756
315	1263	38726
316	1266	38686
317	1269	38657
318	1272	38625
319	1275	38586
320	1279	38569
321	1282	38545
322	1285	38504
323	1288	38465
324	1290	38427
325	1293	38384
326	1297	38379
327	1300	38341
328	1302	38301
329	1305	38264
330	1309	38256
331	1312	38220
332	1315	38186
333	1318	38146
334	1322	38160
335	1325	38134
336	1329	38117
337	1332	38101
338	1339	38161
339	1342	38129
340	1344	38096
341	1347	38059
342	1353	38101
343	1356	38072
344	1360	38072
345	1364	38063
346	1368	38058
347	1371	38031
348	1373	37994
349	1377	37991
350	1381	37983
351	1384	37944
352	1387	37919
353	1390	37891
354	1393	37857
355	1396	37833
356	1399	37801
